Date,Student,Email,Source,Checkpoint,Form,Item #,Lesson,Domain,CCSS,Mode,Correct,Misconception (if wrong)
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,1,L1 Distributive,Algebra & Algebraic Thinking,6.EE.A.3,Digital OK,N,distributes to first term only
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,2,L2 Factors/Multiples,Number & Operations,6.NS.B.4,Digital OK,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,3,L2 Factors/Multiples,Number & Operations,6.EE.A.1,Digital OK,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,4,L3 GCF & LCM,Number & Operations,6.NS.B.4,Digital OK,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,5,L3 GCF & LCM,Number & Operations,6.NS.B.4,Paper,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,6,L3 GCF & LCM,Number & Operations,6.NS.B.4,Paper,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,7,L4 Multiplying Fractions,Number & Operations,5.NF.B.4,Digital OK,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,8,L4 Multiplying Fractions,Number & Operations,5.NF.B.4,Paper,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,9,L5 Dividing Fractions,Number & Operations,6.NS.A.1,Paper,Y,
2026-08-27,"Beckett, Rio",rio.9010000@mock.bigdogmath.example,Independent Demonstration,IDC-M1-CP1,A,10,L5 Dividing Fractions,Number & Operations,6.NS.A.1,Paper,Y,
